,Products bought by the customer,New products bought by the customer
Customer_458,Cips;Yer fıstığı;Şehriye;Çörek otu;Saç kremi;Un;Baldo pirinç;Ketçap;Patlıcan;Soya sosu;El mantısı;Garnitür;Ayçiçek yağı;Nar ekşisi;Kurabiye;Tarçın;Susam,Karamelli likör
Customer_45,Patates;Meksika fasülyesi;Bezelye;Bisküvi;El mantısı;Karabiber;Acı Sos;Zeytinyağı;Milföy;Erişte;Un;Meksika fasülyesi;Papatya çayı;Nohut;Sarımsak sosu;Garnitür;Köfte harcı;Karides;Şehriye;Yeşil çay;Şehriye;Karides;Patlıcan;Un,Kinoa tohumu
Customer_720,Kırmızı şarap;Kalamar;Kahve likörü;Garnitür;Soya sosu;Ton balığı;Meksika fasülyesi;Şehriye;Toz şeker;Sirke;Çörek otu;Erişte;El mantısı;Makarna;Milföy;Patlıcan;Közlenmiş biber;Bezelye;Yoğurt;Toz şeker;Tavuk Bulyon;Yeşil çay,Kinoa tohumu
Customer_560,Şampuan;Baldo pirinç;Acı Sos;Bisküvi;Sarımsak sosu;Erişte;Çörek otu;Saç kremi;El mantısı;Tavuk Bulyon;Jelibon;Tarçın;Bezelye;Biber salçası;Domates salçası;Nemlendirici bakım kremi;Ton balığı;Tavuk Bulyon;Patates;Yeşil çay;Köfte harcı,Peeling krem
Customer_141,Köfte;Garnitür;Zeytinyağı;Saç boyası;Kalem;Sarımsak sosu;Közlenmiş biber;Diş macunu;Pizza;Makarna;Un;Fasulye turşu;Nar ekşisi;Nemlendirici bakım kremi;Karabiber;Baldo pirinç;Tarçın;Kuru kayısı;Diş fırçası;Krem şanti;El mantısı;Güneş kremi;Milföy;Zeytinyağı;Karides,Peeling krem
Customer_539,Erişte;Acı Sos;Karabiber;İçli Köfte;Keçi boynuzu;Yer fıstığı;Közlenmiş biber;Soya sosu;Şehriye;Milföy;Bisküvi;Nohut;Kırmızı mercimek;Ketçap;Ihlamur;Tavuk Bulyon;Böğürtlen;Tarçın;Limon sos;Saç kremi;Toz şeker;Bezelye;Kırmızı mercimek;Patates,Kinoa tohumu
Customer_207,Meksika fasülyesi;Kalamar;Un;Susam;Patates;Nemlendirici bakım kremi;Keçi boynuzu;Domates salçası;Fasulye turşu;Papatya çayı;Toz şeker;Kalamar;Jelibon;Vücut losyonu;Pizza;Bisküvi;Bisküvi;Yoğurt;Kırmızı mercimek;Patates;Yulaf;Kurabiye;Bezelye;Karides;Limon sos;Ihlamur;Tarçın;Patlıcan,Kinoa tohumu
Customer_115,Yeşil çay;Şehriye;Kalem;Sirke;Jelibon;Susam;Kurabiye;Bezelye;Bisküvi;Yer fıstığı;Ayçiçek yağı;Fasulye turşu;Baldo pirinç;Kırı üzüm;Kuru İncir;Meksika fasülyesi;Domates salçası;Kalamar;Fasulye turşu;Tavuk Bulyon;Ayçiçek yağı;El mantısı,Kinoa tohumu
Customer_591,Fasulye turşu;Kırmızı mercimek;Kalem;Çörek otu;Baldo pirinç;Karabiber;Limon sos;Karides;Yeşil çay;Şehriye;Kuru kayısı;Soya sosu;Yer fıstığı;Ayçiçek yağı;Şehriye;Ton balığı;Sarımsak sosu,Kinoa tohumu
Customer_2,Şampuan;Krem şanti;Kırmızı şarap;Cips;Toz şeker;Beyaz şarap;Patlıcan;Ayçiçek yağı;Erişte;Nane likörü;Yoğurt;Bezelye;Kahve likörü;Milföy;Kalamar;Jelibon;Sarımsak sosu;Fasulye turşu;Viski;Baldo pirinç;Limon sos;Susam;Susam,Karamelli likör
Customer_937,Biber salçası;Çikolata;Tarçın;Güneş kremi;Saç kremi;Kırmızı mercimek;Un;Susam;Biber salçası;Limon sos;Tavuk Bulyon;Karabiber;Karides;Kahve likörü;Susam;Bezelye;Pizza;Şampuan;Köfte harcı;Krem şanti;El mantısı;Karides,Peeling krem
Customer_136,Jelibon;Yeşil çay;Yoğurt;Ihlamur;Yer fıstığı;Makarna;Erişte;İçli Köfte;Meksika fasülyesi;Patates;Tavuk Bulyon;Kalem;Böğürtlen;Kırı üzüm;Sirke;Garnitür;Nar ekşisi;Ton balığı;Kuru kayısı,Kinoa tohumu
Customer_189,Domates salçası;Papatya çayı;İçli Köfte;Keçi boynuzu;Yulaf;Jelibon;Zeytinyağı;Jelibon;Çörek otu;Nar ekşisi;Ayçiçek yağı;Makarna;Yeşil çay;Pizza;Milföy;Ton balığı;Patlıcan;Kurabiye;Milföy;Köfte;Karides;Papatya çayı;Ayçiçek yağı;Soya sosu,Kinoa tohumu
Customer_146,Kuru İncir;Saç kremi;Kırı üzüm;Nohut;İçli Köfte;Kırmızı mercimek;Nohut;Milföy;Sarımsak sosu;Acı Sos;Yoğurt;Böğürtlen;Domates salçası;Ayçiçek yağı;Fasulye turşu,Kurutulmuş Kivi
Customer_259,Fasulye turşu;İçli Köfte;Kırmızı mercimek;Nar ekşisi;Ketçap;Kurabiye;Krem şanti;Kalem;Kırmızı mercimek;Bezelye;Sirke;Sarımsak sosu;Viski;Krem şanti;Patates;Jelibon;Kuru dut;Kırı üzüm;Şehriye;Biber salçası,Kurutulmuş Kivi
Customer_693,Keçi boynuzu;Krem şanti;Bisküvi;Közlenmiş biber;Soya sosu;Baldo pirinç;Tarçın;Yulaf;El mantısı;Yoğurt;Kuru kayısı;Toz şeker;Un;Yeşil çay;Garnitür;Nar ekşisi;Erişte,Kinoa tohumu
Customer_656,Şehriye;Susam;Domates salçası;Saç kremi;Zeytinyağı;Milföy;Köfte;Pizza;Bezelye;Baldo pirinç;İçli Köfte;Kırmızı mercimek;Kuru üzüm;Şampuan;Diş fırçası;Yoğurt;Nemlendirici bakım kremi;Diş macunu;Kahve likörü;Kalem;Kalamar;Saç boyası;Toz şeker;Sarımsak sosu;Patlıcan,Peeling krem
Customer_873,Nar ekşisi;Kuru kayısı;Sirke;Kırmızı mercimek;Çörek otu;Biber salçası;Nar ekşisi;Acı Sos;Saç kremi;Jelibon;Fasulye turşu;Makarna;Diş macunu;Garnitür,Peeling krem
Customer_65,Ihlamur;Közlenmiş biber;Tavuk Bulyon;Yeşil çay;Sirke;Biber salçası;Köfte harcı;Sarımsak sosu;Kırmızı mercimek;Tavuk Bulyon;Beyaz şarap;Nar ekşisi;Soya sosu;Çikolata;Milföy;Çörek otu;Yulaf;Milföy;Un,Kinoa tohumu
Customer_692,Bezelye;Biber salçası;Kuru üzüm;Nar ekşisi;Sirke;Kırmızı mercimek;Viski;Beyaz şarap;Fasulye turşu;Sarımsak sosu;Çörek otu;Közlenmiş biber;Zeytinyağı;Nane likörü;Domates salçası;Patates;Kırmızı şarap;Ayçiçek yağı;Soya sosu;İçli Köfte;Kırmızı şarap;Limon sos;Pizza;Şehriye,Karamelli likör
Customer_318,Jelibon;Makarna;Yulaf;Baldo pirinç;Yoğurt;Biber salçası;Kuru İncir;Keçi boynuzu;Kalem;Garnitür;Yeşil çay;Kırmızı mercimek;Un;Limon sos;Acı Sos;Tarçın;Meksika fasülyesi;Soya sosu;Milföy,Kinoa tohumu
Customer_5,Kırı üzüm;Nar ekşisi;Çörek otu;Bezelye;Karabiber;Biber salçası;Erişte;Kuru İncir;Karides;El mantısı;Domates salçası;İçli Köfte;Acı Sos;Soya sosu;Kahve likörü;Jelibon;Kuru üzüm,Kurutulmuş Kivi
Customer_397,Bisküvi;Ihlamur;El mantısı;Meksika fasülyesi;Ayçiçek yağı;Papatya çayı;Milföy;Diş macunu;Toz şeker;Susam;Saç boyası;Yer fıstığı;Köfte harcı;Milföy;Yulaf;Limon sos;Sirke;Yoğurt;Domates salçası;Yeşil çay;İçli Köfte,Kinoa tohumu
Customer_231,Toz şeker;Patlıcan;Karides;Milföy;Kalem;Çörek otu;Kırmızı mercimek;Yoğurt;Jelibon;Papatya çayı;Kalamar;Beyaz şarap;El mantısı;Tavuk Bulyon;Yeşil çay;Erişte;Garnitür;Patlıcan;Köfte harcı,Karamelli likör
Customer_885,Erişte;Fasulye turşu;Zeytinyağı;Tarçın;Ton balığı;Tavuk Bulyon;Un;Baldo pirinç;Tavuk Bulyon;Toz şeker;Çörek otu;Ihlamur;Nohut;Nar ekşisi;Sarımsak sosu;Toz şeker;Susam;Makarna;Yeşil çay;El mantısı;Kalem,Kinoa tohumu
Customer_297,El mantısı;Domates salçası;Sarımsak sosu;Limon sos;Baldo pirinç;Pizza;Çörek otu;İçli Köfte;Karides;Nohut;Makarna;Ayçiçek yağı;Çikolata;Yoğurt;Kırı üzüm;Ayçiçek yağı;Bisküvi;Krem şanti;Közlenmiş biber,Kurutulmuş Kivi
Customer_616,Saç kremi;Bisküvi;Karides;Nar ekşisi;Vücut losyonu;Çörek otu;Karabiber;Garnitür;Şampuan;Kuru üzüm;Bisküvi;Makarna;Pizza;Şehriye;Baldo pirinç;Limon sos,Peeling krem
Customer_444,Garnitür;Köfte;Susam;Bira;Köfte;Beyaz şarap;Kırmızı şarap;Makarna;Çörek otu;Nane likörü;Kırmızı mercimek;Tarçın;İçli Köfte;Kalem;Kırmızı mercimek;Jelibon;Çörek otu;Un;Yoğurt;Jelibon;Kuru kayısı;Ketçap;Milföy;Bezelye;Tavuk Bulyon,Karamelli likör
Customer_59,Köfte harcı;Sarımsak sosu;Nane likörü;Şehriye;Krem şanti;Erişte;Krem şanti;Kalamar;Zeytinyağı;Kalamar;Yer fıstığı;Kuru İncir;El mantısı;Fasulye turşu;Böğürtlen;Fasulye turşu;Soya sosu;Sarımsak sosu;Kuru üzüm;Baldo pirinç,Kurutulmuş Kivi
Customer_413,Sarımsak sosu;Kuru kayısı;Zeytinyağı;Makarna;Yer fıstığı;Zeytinyağı;Közlenmiş biber;Ihlamur;Şehriye;Limon sos;Keçi boynuzu;Fasulye turşu;Köfte harcı;Susam;Makarna;Garnitür,Kurutulmuş Kivi
Customer_379,Milföy;Bisküvi;Ihlamur;Patlıcan;Tavuk Bulyon;Acı Sos;Pizza;Ketçap;Ton balığı;Yeşil çay;Kalem;Sarımsak sosu;Kırmızı mercimek;Çikolata;Meksika fasülyesi;Jelibon;Nar ekşisi,Kinoa tohumu
Customer_863,Un;Karabiber;Ayçiçek yağı;Yoğurt;Krem şanti;Nohut;Şehriye;Böğürtlen;Kuru kayısı;Limon sos;Tarçın;Patlıcan;Fasulye turşu;Yeşil çay;Susam;Garnitür;Nohut;Kuru İncir;Köfte;Ketçap;Garnitür;Yulaf;Kırmızı mercimek,Kurutulmuş Kivi
Customer_38,Kalem;Toz şeker;Milföy;Krem şanti;Çörek otu;Jelibon;Biber salçası;Yoğurt;Tarçın;Saç boyası;Kalamar;Yoğurt;Saç kremi;Un;Şampuan;Çörek otu;Makarna;Susam;Nar ekşisi;Nohut,Peeling krem
Customer_916,Soya sosu;Şampuan;Diş macunu;Vücut losyonu;Ketçap;Kalamar;Saç boyası;Saç kremi;Toz şeker;Tarçın;Nohut;Sirke;İçli Köfte;Susam;Saç boyası;Baldo pirinç;Şampuan;Yer fıstığı;Ayçiçek yağı;Limon sos;Pizza;Nohut;Diş fırçası;Karabiber;Karides;Nemlendirici bakım kremi,Peeling krem
Customer_806,İçli Köfte;Güneş kremi;Bisküvi;Böğürtlen;Zeytinyağı;Ihlamur;Saç kremi;Limon sos;Nar ekşisi;Zeytinyağı;Keçi boynuzu;Baldo pirinç;Ketçap;Kalamar;İçli Köfte;Çörek otu;Fasulye turşu;El mantısı;Diş macunu;Susam;Şampuan;Patlıcan,Peeling krem
Customer_459,Patates;Milföy;Böğürtlen;Nohut;Ketçap;Şehriye;Kalamar;Kırmızı şarap;Tarçın;Ayçiçek yağı;Nane likörü;Kırmızı mercimek;Kuru İncir;Çörek otu;Garnitür;Bezelye;Nohut;Kalamar;Makarna;Pizza;Nar ekşisi,Karamelli likör
Customer_149,Vücut losyonu;Nar ekşisi;Patates;Erişte;Yoğurt;Karabiber;Tavuk Bulyon;Soya sosu;Şampuan;Kalamar;Şehriye;Milföy;Fasulye turşu;Diş fırçası;Nohut;Bisküvi;Kuru dut;Garnitür;Ketçap;Garnitür;Çörek otu;Baldo pirinç;Krem şanti;Tavuk Bulyon;Kırmızı mercimek;Saç kremi;Nemlendirici bakım kremi,Peeling krem
